OBJECTID,PARK_NAME,PARK_ACRE,REGION,OPS_DIST,PARK_TYPE,OLMSTED,PARK_WEB,FULLADDR,PUBLIC_,RESTROOM,CONFERENCE,PICNIC,CAMPING,SWIMMING,HIKING,FISHING,PLAYGROUND,GOLF,SOCCER,BASEBALL,BASKETBALL,FOOTBALL,TENNIS,HORSEBACK,VOLLEYBALL,WALKING,MULTIFIELD,SPRAYPADS,SPRAYGRND,COMMUNITY,SPECIAL,SKATEPARK,SHAPEAREA,SHAPELEN
1,35TH STREET,0.43194602,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/35th-street-park,814 SOUTH 35TH ST,,,,,,,,,YES,,,,YES,,,,,,,,,,,,18815.49355,640.565031823698
2,CRESCENT HILL,7.63689681,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/crescent-hill-park,3110 BROWNSBORO RD,,,,YES,,YES,,,YES,YES,,,,,YES,,,,,,YES,,MARY T MEAGHER AQUATIC CENTER,,332661.894521875,3106.34455651455
3,ALGONQUIN,16.38117159,,NORTHWEST,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/algonquin-park,1614CYPRESS ST,,YES,,YES,,YES,,,YES,,,,YES,,YES,,YES,YES,YES,,YES,,,,713560.980209375,4144.83954564753
4,BELLEVUE,1.50220772,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/bellevue-park,4711 BELLEVUE AVE,,,,,,,,,YES,,,,,,,,,YES,,,,,,,65435.9063289063,1447.75843443529
5,BEN WASHER,2.11060709,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/ben-washer-park,519 WEST KENTUCKY ST,,,,YES,,,,,YES,,,,,,,,,,,,,,,,91937.6771875,1462.32793328069
6,BINGHAM,4.3931403,,CREASON,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/bingham-park, 160 CORAL AVE,,YES,,YES,,,,,YES,,,,YES,,,,,,,YES,,,,,191364.425859375,3601.61500747006
7,BRADLEY,0.83511221,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/bradley-park,2516 BRADLEY AVE,,,,YES,,,,,YES,,,,,,,,,,,,,,,,36377.3422851563,836.223668976277
8,BUECHEL,16.05755646,,VETTINER,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/buechel-park,247 ALPHA AVE,,,,YES,,,,,YES,,,YES,YES,,YES,,,YES,,,,,CRICKET PITCH,,699464.361372656,4066.78705546341
9,CAMP TAYLOR,11.13461123,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/camp-taylor-memorial-park,4201 LEE AVE,,YES,,YES,,YES,,,YES,,,YES,YES,,,,,YES,,,,,HORSESHOE PITS,,485021.725253906,2735.69158646283
10,CANE RUN,10.53238478,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/cane-run-park,4816 CANE RUN RD,,,,,,,,,,,,YES,,,,,,YES,YES,,,,,,458788.845982813,3214.31151200138
11,CAPERTON SWAMP,29.01921286,,NATURAL AREAS,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/caperton-swamp,3916 RIVER RD,,,,,,,YES,,,,,,,,,,,,,,,,,,1264071.85569922,4600.49800492534
12,CENTRAL,16.67322831,,CHEROKEE,NEIGHBORHOOD PARK,YES,https://louisvilleky.gov/government/parks/park-list/central-park,1340 SOUTH FOURTH ST,,YES,,YES,,,,,YES,,,,,,YES,,YES,YES,,YES,,OLD LOUISVILLE INFORMATION CENTER,C. DOUGLAS RAMEY AMPHITHEATER,,726282.919921875,3412.98955763731
13,CHICKASAW,61.20736627,,NORTHWEST,COMMUNITY PARK,YES,https://louisvilleky.gov/government/parks/park-list/chickasaw-park,1200 SOUTHWESTERN PKWY,,YES,,YES,,,,YES,YES,,,,YES,,YES,,YES,YES,,YES,,,HORSESHOE PIT,,2666182.20996094,6882.04081362113
14,CLIFF,0.88655514,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/cliff-park,4666 CLIFF AVE,,,,,,,,,YES,,,,,,,,,,,,,,,,38618.1872421875,981.449627435691
15,CLIFTON,1.19187352,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/clifton-park,133 NORTH CHARLTON ST,,,,YES,,,,,YES,,,,YES,,YES,,,,,,,,,,51917.802734375,1054.82248555238
16,CARRIE GAULBERT COX,51.20373167,,CREASON,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/carrie-gaulbert-cox-park,3730 RIVER RD,,YES,,YES,,,,YES,YES,,,,,,,,,YES,,,,, CRICKET PITCH,,2230425.62980469,8841.3077304373
17,DOUGLASS,4.71109424,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/douglass-park,2305 DOUGLASS BLVD,,,,YES,,,,,YES,,,,YES,,,,,,,,,DOUGLASS COMMUNITY CENTER,ADAPTED LEISURE ACTIVITIES CENTER,,205214.444335938,1869.97637642663
18,EASTOVER,1.12368777,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/eastover-park,118 SACRED HEART LN,,,,,,,,,YES,,,,,,,,,,,,,,,,48947.64335,986.954952293553
19,FAIRDALE MINI,0.35906442,,NATURAL AREAS,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/fairdale-mini-park,10714 WEST MANSLICK RD,,,,YES,,,,,,,,,,,,,,YES,,,,,,,15640.7835875,621.666204540191
20,FLAGET FIELD,6.70333577,,NORTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/flaget-field-park,4425 GREENWOOD AVE,,YES,,,,,,,YES,,,,,,,,,YES,YES,,,FLAGET SENIOR CENTER,,,291996.1380125,2328.97352346775
21,GERMAN-PARISTOWN,0.42965922,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/german-paristown-park,1134 EAST KENTUCKY ST,,,,,,,,,YES,,,,,,,,,,,,,,,,18715.8809570313,548.872489835133
22,GNADINGER,0.02559153,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/gnadinger-park,103 ELLISON AVE,,,,,,,,,,,,,,,,,,,,,,,BENCHES,,1114.7626953125,175.879318699851
23,WILLIAM HARRISON,2.24686406,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/william-harrison-park,3232 OLEANDA AVE,,,,YES,,,,,YES,,,,YES,,,,,,,YES,,,,,97873.0068359375,1256.52814096765
24,HOPEWELL,0.30712642,,CREASON,NEIGHBORHOOD PARK,NO, ,509 NORTH BIRCHWOOD AVE,,,,,,,,,YES,,,,,,,,,,,,,,,,13378.373315625,473.73954195035
25,NELSON HORNBECK,18.60891231,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/nelson-hornbeck-park,709 FAIRDALE RD,,YES,,,,YES,,,YES,,,YES,YES,,YES,,,,,,YES,,,,810600.978027344,3932.19027321963
26,HOUNZ LANE,20.52283519,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/hounz-lane-park,2300 HOUNZ LN,,,,YES,,,,,YES,,,YES,,,YES,,,,YES,,,,,,893971.125070313,4507.20385965767
27,IRISH HILL,0.79754486,,CHEROKEE,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/irish-hill-park,1131 LEXINGTON RD,,,,,,,,,,,,,YES,,,,,,,,,,,,34740.9149992188,898.043404977562
28,LOUIS B. ISRAEL,0.4587568,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/louis-b-israel-park,4708 SOUTH FIRST ST,,,,,,,,,YES,,,,,,,,,,,,,,,,19983.3662109375,600.541613266209
29,HAYS KENNEDY,78.41299987,,VETTINER,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/hays-kennedy-park,7303 BEACHLAND BEACH RD,,YES,,YES,,,,,YES,,,YES,YES,,YES,,,YES,YES,,,,POLO FIELD,,3415656.61163828,9788.58978166428
30,KENNEDY COURT,0.97209,,CREASON,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/kennedy-court-park,225 KENNEDY AVE,,,,YES,,,,,YES,,,,,,,,,YES,,,,,,,42344.07113125,863.084009533218
31,KLONDIKE,7.12388705,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/klondike-park,3809 KLONDIKE LN,,,,YES,,,,,YES,,,YES,,,YES,,,YES,,,,,,,310315.278759375,2390.54671178143
32,KULMER RESERVE,23.80552832,,NATURAL AREAS,COMMUNITY PARK,NO,https://louisvilleky.gov/government/parks/park-list/kulmer-reserve,17200 KULMER BEACH RD,,,,YES,,,,,,,,,,,,,,YES,,,,,,,1036964.66579063,11334.2139859865
33,LAKE DREAMLAND,1.37973778,,SOUTHWEST,NEIGHBORHOOD PARK,NO,https://louisvilleky.gov/government/parks/park-list/lake-dreamland-park,4400 LAKE DREAMLAND RD,,,,YES,,,,,YES,,,,YES,,,,,,,,,,,,60101.1371,1356.68094465456
